labels,feature1,feature2
1,0.076782449,0.308308465
1,-0.055751862,0.052998959
2,0.659917048,-0.746881324
1,0.315727599,-0.719748901
0,0.27372532,0.046170907
4,-0.189881562,-0.43165386
2,0.832586171,-0.406271937
3,-0.169989295,-0.206618502
4,-0.62115435,0.613301407
2,0.776870176,-0.56942742
1,-0.061308375,0.141102524
4,-0.717516477,-0.04714326
3,-0.471152513,0.253703712
3,-0.505044704,0.186736915
0,-0.73947196,-0.424878898
1,0.045775455,-0.841565347
0,-0.949649954,0.018635087
4,0.079433438,0.011541661
4,-0.108399896,-0.455506733
2,-0.266858963,0.087815633
3,0.731462713,0.568523455
3,-0.469921282,0.381607165
3,0.029094558,-0.056493299
4,-0.57843772,0.675910564
4,-0.697496585,0.44262645
4,-0.531029917,-0.324010439
4,0.055798363,0.010916445
2,-0.260889911,0.23004226
2,-0.277805262,0.230851847
2,0.605318077,0.349551641
3,-0.456413627,0.339041597
3,-0.339546123,-0.123194032
0,0.309663411,0.029196851
3,0.108440689,0.808816389
4,-0.747800916,0.084039414
2,0,0
4,-0.414214226,0.854756619
3,-0.205925435,-0.233106412
1,0.256137362,0.313307189
2,-0.157785098,0.462098691
2,0.043898032,0.563510126
0,-0.736103318,-0.443786856
0,0.106389589,0.10166855
2,0.788700003,-0.49864543
0,0.010078302,0.03189018
3,-0.024090709,-0.165479699
0,0.074909738,-0.637756154
0,0.106885335,0.145576818
0,0.371401185,-0.16071373
0,0.111168956,0.106348965
1,-0.032169337,0.231893001
3,0.013010394,-0.037966431
3,-0.062797646,-0.208123605
1,0.560299106,-0.157222269
4,-0.259949534,-0.444637959
0,0.016845821,0.050790954
0,-0.578410051,-0.537059222
3,-0.48474135,0.014218423
3,0.378516838,0.753028969
4,-0.554560672,-0.274386874
0,0.039575751,-0.56047741
0,0.271125273,-0.488308398
1,0,0
4,0.04738739,0.016467716
1,-0.436569109,-0.877311982
1,0.004860823,-0.906341481
1,0.312540234,0.262305996
2,-0.186810348,-0.013409005
0,-0.754431296,-0.344659152
1,0.49132964,0.14296116
3,-0.365808699,-0.129216306
3,0.79655203,0.570765945
1,0.390992496,-0.666331289
1,-0.06014536,0.208905517
1,0.161437407,0.319376593
1,0.584674512,-0.281310054
2,0.664036992,0.354010885
3,-0.193388731,-0.256294545
2,-0.142432603,-0.019875834
4,-0.203792311,-0.451084404
2,0.733080224,0.221754797
1,0.149581943,0.295389385
1,-0.011083513,-0.899597277
4,0.090036989,0.006900129
3,-0.002729733,0.76253692
4,-0.032034689,-0.396701972
1,-0.062920699,0.147690587
1,0.003525449,0.250811344
2,0.797198638,0.058348473
3,-0.492045589,0.163169084
2,-0.040544386,-0.039859488
0,-0.922965973,0.339070252
3,0.020290902,-0.038453068
3,-0.451857866,0.16663788
1,-0.038260985,0.012116817
1,0.029258637,0.272682267
2,-0.2255888,0.299033983
0,-0.897674052,-0.098022533
3,-0.328233182,-0.173436527
4,-0.65097212,-0.121465568
2,0.880518993,-0.200283356
3,-0.023043959,0.785615283
4,0.039364882,0.00781833
3,0.002490637,-0.002232104
1,0.515575184,-0.561829365
4,-0.099090151,0.954737819
4,-0.734615102,0.269846295
3,-0.424155463,-0.057933688
1,0.023121324,0.256485035
3,-0.281302156,0.603181853
2,0.796257747,-0.432957397
4,0.128316552,-0.072042358
2,0.801074026,-0.497795798
1,0.560608284,-0.444940591
0,-0.8143231,-0.323572677
3,-0.040675175,-0.186245552
2,-0.014551966,-0.018339373
1,0.592140717,-0.167533866
1,0.342945102,0.267253763
3,0.266016318,0.817331136
3,0.715571666,0.614391929
2,-0.028248639,-0.017904471
2,-0.273289293,0.089673538
4,-0.602285394,-0.232170465
2,0.597124999,0.308787034
3,-0.327058755,-0.08447745
1,0.214957852,0.310839994
1,0.449237926,-0.607864134
1,0.5257925,0.079525586
3,-0.465221057,0.05297442
1,0.452997399,-0.634071031
2,0.75089786,-0.565132893
1,-0.046774944,0.025992446
0,0.176565926,0.132471737
1,0.475630518,0.148681424
4,0.142384485,-0.020217659
4,0.02827766,-0.373513057
0,-0.369021391,-0.62493193
2,-0.170200118,-0.011205095
2,0.868829445,-0.206258534
4,-0.585744356,0.656199174
1,0.44869802,0.155613826
4,-0.135008863,-0.416806855
1,-0.011230864,0.237192457
